Surrey Police	South East	surrey	0.09599872835	0.03791208791	0.03584229391	0										2014										2014
Sussex Police	South East	sussex	0.06316322035	0.02096358955																						
Thames Valley Police	South East	thames-valley	0.1542560222	0.05052386496	0.09717669451	0.06595477387	2005	2006	2007	2008	2009						2005	2006	2007	2008	2009					
Warwickshire Police	West Midlands	warwickshire	0.07293839853	0.04914004914	0.08818958819	0.06390134529	2005	2006	2007	2008	2009	2010					2005	2006	2007	2008	2009	2010				2014
West Mercia Police	West Midlands	west-mercia	0.0375485923	0.01893373194	0.05415294548	0.02352941176				2008			2011		2013	2014				2008			2011		2013	2014
West Midlands Police	West Midlands	west-midlands	0.2986785847	0.08731513083	0.1820479303	0.1728395062		2006	2007	2008	2009	2010	2011	2012	2013	2014										2014
West Yorkshire Police	Yorkshire & the Humber	west-yorkshire	0.1824929988	0.05146593546	0.09260527217	0.06417112299	2005	2006	2007	2008				2012	2013	2014	2005	2006	2007	2008	2009	2010		2012	2013	2014
Wiltshire Police	South West	wiltshire	0.0547948428	0.0157790927	0.03341384863	0.02894736842									2013		2005	2006	2007	2008	2009		2011	2012	2013	2014
Police Service of Scotland	Scotland	scotland	0.0398	0.01	0.047	0.11									2013	2014									2013	2014
Police Service of Northern Ireland	Northern Ireland	northern-ireland	0.0172	0.0053	0.029	0.007	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
